Invoice Number,Invoice Date,Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total
USI25-04549335,"Aug 20, 2025",The Employers Choice,489c9ea2ce571217,4042257-168-1,Sales Associate,"Dallas, TX",55,click,0.72,39.84
USI25-04549335,"Aug 20, 2025",The Employers Choice,870c07f9b5e8b83b,4042257-147-1,Sales Representative,"Maumelle, AR",95,click,0.95,90.50
USI25-04549335,"Aug 20, 2025",The Employers Choice,889054002d0dcea5,4042257-148-1,Sales Associate,"Maumelle, AR",65,click,0.47,30.42
USI25-04549335,"Aug 20, 2025",The Employers Choice,f3bbd67af42b42e1,4042257-183-1,Sales Representative,"Tyler, TX",46,click,0.58,26.73
USI25-04549335,"Aug 20, 2025",The Employers Choice,43bc17320b98a102,4042257-194-1,Insurance Representative,"Dallas, TX",63,click,0.55,34.52
USI25-04549335,"Aug 20, 2025",The Employers Choice,77293667443d372d,4042257-181-1,Insurance Representative,"Jonesboro, AR",85,click,0.81,68.80
USI25-04549335,"Aug 20, 2025",The Employers Choice,9bbb621ea1839a35,4042257-139-1,Sales Associate,"Searcy, AR",109,click,0.59,64.06
USI25-04549335,"Aug 20, 2025",The Employers Choice,3d667d2a2f1747a4,4042257-175-2,Virtual Insurance Representative,"Fayetteville, AR",106,click,0.35,36.61
USI25-04549335,"Aug 20, 2025",The Employers Choice,802eb1777372fb34,4042257-187-1,Virtual Insurance Representative,"Southaven, MS",86,click,0.41,35.12
USI25-04549335,"Aug 20, 2025",The Employers Choice,095cbf54656b79d3,4042257-177-4,Insurance Representative,"Conway, AR",76,click,0.87,66.25
USI25-04549335,"Aug 20, 2025",The Employers Choice,6bebd637ef6a80fb,4042257-184-1,Virtual Insurance Representative,"Oxford, MS",63,click,0.48,30.00
USI25-04549335,"Aug 20, 2025",The Employers Choice,56411bd623e8d037,4042257-178-1,Insurance Representative,"Rogers, AR",65,click,1.63,106.18
,,,,,,,,,,SUBTOTAL - Invoice USI25-04549335
,,,,,,,,,,629.03
,,,,,,,,,,GRAND TOTAL + 10% - Invoice USI25-04549335
,,,,,,,,,,691.93
,,,,,,,,,,
