Invoice Number,Invoice Date,Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total
USI25-03713610,"Jul 4, 2025",The Employers Choice,489c9ea2ce571217,4042257-168-1,Sales Associate,"Dallas, TX",69,click,0.62,42.80
USI25-03713610,"Jul 4, 2025",The Employers Choice,870c07f9b5e8b83b,4042257-147-1,Sales Representative,"Maumelle, AR",96,click,0.81,77.66
USI25-03713610,"Jul 4, 2025",The Employers Choice,889054002d0dcea5,4042257-148-1,Sales Associate,"Maumelle, AR",76,click,0.45,33.82
USI25-03713610,"Jul 4, 2025",The Employers Choice,e32aaa6348335b1d,4042257-152-1,Insurance Representative,"Little Rock, AR",99,click,0.64,63.27
USI25-03713610,"Jul 4, 2025",The Employers Choice,f3bbd67af42b42e1,4042257-183-1,Sales Representative,"Tyler, TX",57,click,0.48,27.60
USI25-03713610,"Jul 4, 2025",The Employers Choice,3a263c078ea83a40,4042257-177-2,Insurance Representative,"Conway, AR",67,click,0.88,58.93
USI25-03713610,"Jul 4, 2025",The Employers Choice,77293667443d372d,4042257-181-1,Insurance Representative,"Jonesboro, AR",88,click,0.68,60.21
USI25-03713610,"Jul 4, 2025",The Employers Choice,9bbb621ea1839a35,4042257-139-1,Sales Associate,"Searcy, AR",131,click,0.47,61.23
USI25-03713610,"Jul 4, 2025",The Employers Choice,802eb1777372fb34,4042257-187-1,Virtual Insurance Representative,"Southaven, MS",122,click,0.31,37.58
USI25-03713610,"Jul 4, 2025",The Employers Choice,6bebd637ef6a80fb,4042257-184-1,Virtual Insurance Representative,"Oxford, MS",116,click,0.31,35.48
USI25-03713610,"Jul 4, 2025",The Employers Choice,56411bd623e8d037,4042257-178-1,Insurance Representative,"Rogers, AR",92,click,0.86,79.24
USI25-03713610,"Jul 4, 2025",The Employers Choice,8e99ce9f19c86de2,4042257-175-1,Virtual Insurance Representative,"Maumelle, AR",228,click,0.29,66.37
,,,,,,,,,,SUBTOTAL - Invoice USI25-03713610
,,,,,,,,,,644.19
,,,,,,,,,,GRAND TOTAL + 10% - Invoice USI25-03713610
,,,,,,,,,,708.61
,,,,,,,,,,
