Itemized report for invoice #USI25-04681852
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Aug 31, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","71","click","0.70","49.65","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","126","click","0.68","85.62","USD"
"The Employers Choice","373d225604dc3f0f","4042257-195-1","Insurance Representative","Grapevine, TX","3","sponsored job daily cost","15.00","45.00","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","44","click","0.60","26.49","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","52","click","0.54","28.19","USD"
"The Employers Choice","43bc17320b98a102","4042257-194-1","Insurance Representative","Dallas, TX","80","click","0.55","43.70","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","95","click","0.98","92.64","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","47","click","0.76","35.63","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","67","click","1.23","82.60","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","89","click","0.62","55.19","USD"
"The Employers Choice","3d667d2a2f1747a4","4042257-175-2","Virtual Insurance Representative","Fayetteville, AR","94","click","0.35","32.86","USD"
"The Employers Choice","3ed4fcd795a1af44","4042257-193-1","Insurance Representative","Birmingham, AL","38","click","0.91","34.56","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","54","click","0.55","29.45","USD"
"The Employers Choice","4fe7ba770e7281bb","4042257-192-1","Insurance Representative","Evansville, IN","65","click","1.41","91.57","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","82","click","0.97","79.27","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","56","click","0.59","32.80","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","51","click","0.73","37.17","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","44","click","0.69","30.48","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","55","click","1.59","87.49","USD"
,,,,,,,"Total cost","1000.36","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","1000.36","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
