Itemized report for invoice #USI25-04387358
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Aug 6, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","19","click","0.93","17.71","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","111","click","0.76","84.57","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","82","click","0.39","32.04","USD"
"The Employers Choice","e32aaa6348335b1d","4042257-152-1","Insurance Representative","Little Rock, AR","116","click","0.62","72.24","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","53","click","0.67","35.67","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","101","click","0.70","70.79","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","60","click","1.11","66.35","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","80","click","1.30","104.31","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","107","click","0.56","59.57","USD"
"The Employers Choice","3d667d2a2f1747a4","4042257-175-2","Virtual Insurance Representative","Fayetteville, AR","44","click","0.24","10.58","USD"
"The Employers Choice","4fe7ba770e7281bb","4042257-192-1","Insurance Representative","Evansville, IN","73","click","1.03","74.84","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","43","click","0.33","14.11","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","71","click","1.30","92.45","USD"
"The Employers Choice","095cbf54656b79d3","4042257-177-4","Insurance Representative","Conway, AR","106","click","0.57","60.15","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","43","click","0.36","15.68","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","102","click","0.62","63.34","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","73","click","1.42","103.69","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","48","click","0.52","25.10","USD"
,,,,,,,"Total cost","1003.19","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","1003.19","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
