Itemized report for invoice #USI25-03860470
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Jul 18, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","65","click","0.62","40.34","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","91","click","0.65","59.53","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","74","click","0.50","36.68","USD"
"The Employers Choice","e32aaa6348335b1d","4042257-152-1","Insurance Representative","Little Rock, AR","107","click","0.47","50.77","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","172","click","0.63","108.38","USD"
"The Employers Choice","0ac6460c384380f5","4042257-177-3","Insurance Representative","Holly Springs, MS","50","click","0.69","34.42","USD"
"The Employers Choice","3a263c078ea83a40","4042257-177-2","Insurance Representative","Conway, AR","24","click","0.65","15.56","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","94","click","0.98","91.99","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","78","click","0.69","54.11","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","117","click","0.50","58.17","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","104","click","0.87","90.92","USD"
"The Employers Choice","3d667d2a2f1747a4","4042257-175-2","Virtual Insurance Representative","Fayetteville, AR","318","click","0.21","66.15","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","101","click","0.32","32.55","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","85","click","1.11","94.10","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","92","click","0.35","32.07","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","81","click","0.75","61.11","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","93","click","0.48","44.47","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","65","click","0.45","29.21","USD"
,,,,,,,"Total cost","1000.53","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","1000.53","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
