Itemized report for invoice #USI25-03761357
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Jul 9, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","53","click","0.73","38.94","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","74","click","0.93","68.99","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","84","click","0.40","33.97","USD"
"The Employers Choice","e32aaa6348335b1d","4042257-152-1","Insurance Representative","Little Rock, AR","105","click","0.58","60.71","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","74","click","0.42","31.38","USD"
"The Employers Choice","3a263c078ea83a40","4042257-177-2","Insurance Representative","Conway, AR","94","click","0.70","65.76","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","115","click","0.49","56.63","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","72","click","1.04","74.54","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","127","click","0.50","63.10","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","104","click","1.06","109.94","USD"
"The Employers Choice","3d667d2a2f1747a4","4042257-175-2","Virtual Insurance Representative","Fayetteville, AR","178","click","0.27","48.36","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","79","click","0.34","26.76","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","84","click","0.98","82.18","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","79","click","0.33","25.96","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","125","click","0.42","52.28","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","100","click","1.06","106.25","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","117","click","0.41","48.12","USD"
"The Employers Choice","8e99ce9f19c86de2","4042257-175-1","Virtual Insurance Representative","Maumelle, AR","17","click","0.40","6.72","USD"
,,,,,,,"Total cost","1000.59","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","1000.59","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
