Itemized report for invoice #USI25-04613779
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Aug 25, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","69","click","0.67","46.02","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","107","click","0.80","85.39","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","61","click","0.45","27.38","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","55","click","0.51","27.98","USD"
"The Employers Choice","43bc17320b98a102","4042257-194-1","Insurance Representative","Dallas, TX","61","click","0.67","41.12","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","35","click","1.44","50.53","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","55","click","0.94","51.94","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","90","click","0.59","53.55","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","53","click","1.56","82.49","USD"
"The Employers Choice","3d667d2a2f1747a4","4042257-175-2","Virtual Insurance Representative","Fayetteville, AR","96","click","0.35","33.29","USD"
"The Employers Choice","3ed4fcd795a1af44","4042257-193-1","Insurance Representative","Birmingham, AL","52","click","0.86","44.68","USD"
"The Employers Choice","4fe7ba770e7281bb","4042257-192-1","Insurance Representative","Evansville, IN","63","click","1.60","100.84","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","64","click","0.41","26.33","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","86","click","1.07","92.01","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","55","click","0.53","28.92","USD"
"The Employers Choice","095cbf54656b79d3","4042257-177-4","Insurance Representative","Conway, AR","43","click","1.01","43.22","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","50","click","0.45","22.60","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","50","click","1.72","86.12","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","74","click","0.76","55.87","USD"
,,,,,,,"Total cost","1000.28","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","1000.28","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
