Itemized report for invoice #USI25-03734075
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Jul 7, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","76","click","0.65","49.56","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","109","click","0.96","104.59","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","44","click","0.58","25.35","USD"
"The Employers Choice","e32aaa6348335b1d","4042257-152-1","Insurance Representative","Little Rock, AR","112","click","0.53","59.45","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","62","click","0.46","28.48","USD"
"The Employers Choice","3a263c078ea83a40","4042257-177-2","Insurance Representative","Conway, AR","65","click","0.77","49.79","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","103","click","0.64","66.23","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","39","click","1.54","60.23","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","115","click","0.56","64.14","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","61","click","1.64","100.14","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","76","click","0.32","24.31","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","96","click","1.08","103.50","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","76","click","0.36","27.62","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","60","click","1.58","94.68","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","77","click","0.51","39.32","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","76","click","0.48","36.46","USD"
"The Employers Choice","8e99ce9f19c86de2","4042257-175-1","Virtual Insurance Representative","Maumelle, AR","170","click","0.39","66.25","USD"
,,,,,,,"Total cost","1000.10","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","1000.10","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
