Itemized report for invoice #USI25-03888924
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Jul 21, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","75","click","0.69","52.06","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","130","click","0.59","76.93","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","63","click","0.35","22.21","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","117","click","0.60","70.52","USD"
"The Employers Choice","e32aaa6348335b1d","4042257-152-1","Insurance Representative","Little Rock, AR","113","click","0.55","62.13","USD"
"The Employers Choice","0ac6460c384380f5","4042257-177-3","Insurance Representative","Holly Springs, MS","91","click","0.72","65.57","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","99","click","0.67","66.04","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","49","click","1.23","60.39","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","118","click","0.45","53.54","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","107","click","0.80","85.59","USD"
"The Employers Choice","3d667d2a2f1747a4","4042257-175-2","Virtual Insurance Representative","Fayetteville, AR","240","click","0.24","56.89","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","70","click","0.38","26.67","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","92","click","0.95","87.50","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","78","click","0.36","28.02","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","79","click","0.40","31.76","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","94","click","1.26","118.84","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","73","click","0.49","35.49","USD"
,,,,,,,"Total cost","1000.15","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","1000.15","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
