Itemized report for invoice #USI25-04695341
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Aug 31, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","7","click","0.81","5.69","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","9","click","0.54","4.90","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","7","click","0.38","2.65","USD"
"The Employers Choice","373d225604dc3f0f","4042257-195-1","Insurance Representative","Grapevine, TX","1","sponsored job daily cost","15.00","15.00","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","8","click","0.44","3.53","USD"
"The Employers Choice","43bc17320b98a102","4042257-194-1","Insurance Representative","Dallas, TX","8","click","0.48","3.85","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","5","click","0.84","4.20","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","6","click","0.94","5.65","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","13","click","1.29","16.82","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","8","click","0.89","7.12","USD"
"The Employers Choice","3d667d2a2f1747a4","4042257-175-2","Virtual Insurance Representative","Fayetteville, AR","10","click","0.35","3.50","USD"
"The Employers Choice","3ed4fcd795a1af44","4042257-193-1","Insurance Representative","Birmingham, AL","2","click","2.02","4.03","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","5","click","0.64","3.18","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","12","click","0.79","9.48","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","8","click","0.40","3.18","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","10","click","0.67","6.73","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","7","click","1.38","9.65","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","5","click","0.81","4.06","USD"
,,,,,,,"Total cost","113.22","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","113.22","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
