Itemized report for invoice #USI25-04651838
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Aug 28, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","44","click","0.76","33.54","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","91","click","0.99","89.98","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","60","click","0.52","31.32","USD"
"The Employers Choice","373d225604dc3f0f","4042257-195-1","Insurance Representative","Grapevine, TX","1","sponsored job daily cost","15.00","15.00","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","45","click","0.54","24.51","USD"
"The Employers Choice","43bc17320b98a102","4042257-194-1","Insurance Representative","Dallas, TX","51","click","0.71","36.33","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","67","click","0.91","61.13","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","104","click","0.81","84.57","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","71","click","1.32","93.93","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","73","click","0.70","51.30","USD"
"The Employers Choice","3d667d2a2f1747a4","4042257-175-2","Virtual Insurance Representative","Fayetteville, AR","56","click","0.30","16.95","USD"
"The Employers Choice","3ed4fcd795a1af44","4042257-193-1","Insurance Representative","Birmingham, AL","17","click","5.85","99.37","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","53","click","0.51","27.29","USD"
"The Employers Choice","4fe7ba770e7281bb","4042257-192-1","Insurance Representative","Evansville, IN","56","click","1.26","70.57","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","67","click","1.41","94.52","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","51","click","0.49","25.06","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","61","click","0.60","36.73","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","41","click","0.63","25.72","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","40","click","2.06","82.28","USD"
,,,,,,,"Total cost","1000.10","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","1000.10","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
