Itemized report for invoice #USI25-03825338
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Jul 15, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","64","click","0.77","49.49","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","110","click","0.80","87.47","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","72","click","0.43","30.95","USD"
"The Employers Choice","e32aaa6348335b1d","4042257-152-1","Insurance Representative","Little Rock, AR","105","click","0.64","67.08","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","120","click","0.53","63.63","USD"
"The Employers Choice","3a263c078ea83a40","4042257-177-2","Insurance Representative","Conway, AR","99","click","0.61","60.34","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","32","click","1.78","57.00","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","113","click","0.55","61.82","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","113","click","0.52","58.98","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","69","click","1.14","78.43","USD"
"The Employers Choice","3d667d2a2f1747a4","4042257-175-2","Virtual Insurance Representative","Fayetteville, AR","173","click","0.31","53.18","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","76","click","0.33","24.83","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","105","click","1.02","106.64","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","64","click","0.35","22.56","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","78","click","1.25","97.54","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","93","click","0.55","51.55","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","70","click","0.41","28.55","USD"
,,,,,,,"Total cost","1000.04","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","1000.04","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
