Itemized report for invoice #USI25-03794654
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Jul 12, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","74","click","0.64","47.31","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","133","click","0.87","115.60","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","73","click","0.37","27.25","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","119","click","0.49","58.27","USD"
"The Employers Choice","e32aaa6348335b1d","4042257-152-1","Insurance Representative","Little Rock, AR","98","click","0.50","49.23","USD"
"The Employers Choice","3a263c078ea83a40","4042257-177-2","Insurance Representative","Conway, AR","72","click","0.87","62.85","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","85","click","0.67","56.71","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","84","click","0.84","70.75","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","104","click","0.80","83.33","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","105","click","0.58","60.56","USD"
"The Employers Choice","3d667d2a2f1747a4","4042257-175-2","Virtual Insurance Representative","Fayetteville, AR","277","click","0.22","62.15","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","110","click","0.29","31.51","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","125","click","0.69","86.15","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","109","click","0.31","33.77","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","60","click","1.50","89.88","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","86","click","0.40","34.24","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","69","click","0.45","31.22","USD"
,,,,,,,"Total cost","1000.78","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","1000.78","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
